surgeonid,name,email,specialtyname
42,Dr. Anthony Vasquez,michaelkelly@example.org,Neuro-Oncology
43,Dr. Tammy Anderson,gomezmichelle@example.com,Neuro-Oncology
44,Dr. Bobby Martinez,hendersonbrittney@example.org,General Neurosurgery
45,Dr. Kristin Terry,taylorstephanie@example.net,Functional Neurosurgery
46,Dr. Ashley Jackson,douglaschristopher@example.org,Endovascular Neurosurgery
47,Dr. Diane Walters,riveramelanie@example.org,Spine Surgery
48,Dr. Dustin Welch,stevekelly@example.com,General Neurosurgery
49,Dr. George Phillips,chavezbrian@example.com,Endovascular Neurosurgery
50,Dr. Linda Green MD,davidfrazier@example.com,Neuro-Oncology
51,Dr. Jesus Barker,michael07@example.net,General Neurosurgery
52,Dr. Danny Vasquez,smithdana@example.com,Endovascular Neurosurgery
53,Dr. Caitlyn Juarez,jessica13@example.com,Endovascular Neurosurgery
54,Dr. Judith Davila,patrick25@example.net,Endovascular Neurosurgery
55,Dr. Olivia Palmer,wgibbs@example.org,Spine Surgery
56,Dr. Christopher Willis,benjamin38@example.com,Functional Neurosurgery
57,Dr. Jeffrey Santos,tammy92@example.com,Functional Neurosurgery
58,Dr. Michael Miranda,johnlee@example.org,Neuro-Oncology
59,Dr. Jennifer Butler,jonathanphillips@example.com,General Neurosurgery
60,Dr. Hannah Arnold,tammybeck@example.net,General Neurosurgery
61,Dr. Shannon Powers,elizabethbowen@example.org,Pediatric Neurosurgery
62,Dr. Michael Phillips,breanna54@example.net,Spine Surgery
63,Dr. Anna Farley,donaldhall@example.org,Neuro-Oncology
64,Dr. Joshua Patton,tonywilcox@example.net,Endovascular Neurosurgery
65,Dr. Jordan Hall,fferguson@example.com,General Neurosurgery
66,Dr. Cheryl Hoffman,tmitchell@example.com,Pediatric Neurosurgery
67,Dr. Maurice Miller,james18@example.org,Neuro-Oncology
68,Dr. John Parker,barnettkevin@example.net,Functional Neurosurgery
69,Dr. Kimberly Rodriguez,martinezkathleen@example.org,Endovascular Neurosurgery
70,Dr. Krista Ware,jeremy90@example.org,Spine Surgery
71,Dr. Adrian Webster,nicholas83@example.com,Functional Neurosurgery
72,Dr. Kathleen Davis,alex42@example.net,Endovascular Neurosurgery
73,Dr. Wayne Jones,annacowan@example.net,Endovascular Neurosurgery
74,Dr. Frank Bush,blackalfred@example.org,Endovascular Neurosurgery
75,Dr. Anthony Livingston,diamond35@example.org,General Neurosurgery
76,Dr. Wendy Young,lhernandez@example.org,Neuro-Oncology
77,Dr. Richard Watson,denisemanning@example.org,Functional Neurosurgery
78,Dr. Kenneth Andrews,martinezian@example.org,General Neurosurgery
79,Dr. Mark Davis,wwilliams@example.net,Functional Neurosurgery
80,Dr. Jonathan Schmidt,smithkevin@example.net,General Neurosurgery
81,Dr. Shannon Brown,xwebb@example.org,Neuro-Oncology
82,Dr. Wendy Johnson,campbellandrew@example.org,Pediatric Neurosurgery
83,Dr. James Haynes,tamara18@example.net,Neuro-Oncology
84,Dr. Jason Hahn,glawson@example.org,Endovascular Neurosurgery
85,Dr. Ricky Perez,smithchristy@example.com,Endovascular Neurosurgery
86,Dr. Robert Moore,rhondamathis@example.com,General Neurosurgery
87,Dr. Pamela Crane,woodanna@example.com,Spine Surgery
88,Dr. Sandra Mills,tammy97@example.net,Endovascular Neurosurgery
89,Dr. Kimberly Holloway,diazedward@example.com,Neuro-Oncology
90,Dr. Andrea Walker,jonathan69@example.com,Functional Neurosurgery
91,Dr. Katrina Williams,zbruce@example.org,Endovascular Neurosurgery
92,Dr. Alex Smith,hhancock@example.com,Pediatric Neurosurgery
93,Dr. Sandra Thompson,richard51@example.org,Functional Neurosurgery
94,Dr. Christian Shaw,jamesho@example.net,Neuro-Oncology
95,Dr. Jesus Jackson,nicole57@example.com,Neuro-Oncology
96,Dr. Gina Ortiz,nancy67@example.org,Neuro-Oncology
97,Dr. Matthew Padilla,daniel61@example.org,Spine Surgery
98,Dr. Marcus Brewer,katelyn19@example.org,Pediatric Neurosurgery
99,Dr. Melinda Payne,vpoole@example.com,Functional Neurosurgery
100,Dr. Elizabeth Miller,elizabethgreen@example.net,General Neurosurgery
